,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Court station name: 
(Entry required.)",,,A. N. Other,,,,,,,,,,JUDICIARY,,,,,,,,,,,,,,,,,,,,,,,,,
,12,Apr,2023,QRSO,E126,7,Nov,2022,,,,,Defilement,Hon XXXXXXX,,,,,,,Hearing,Adjournment,Witness not present,25,Apr,2023,,,1,1,,,No,,,0,,,
,12,Apr,2023,QRCR,E266,15,Feb,2021,,,,,"Offenses under False Pretences (e.g. Obtaining, Bad Cheques, Cheating)",Hon WWWWWW,,,,,,,Hearing,Hearing date set (in court),,06,Jun,2023,,,1,1,,,Yes,,,0,,,
,12,Apr,2023,QRCR,E1386,26,Oct,2022,,,,,"Possession of narcotic drugs and psychotropic substances (cannabis sativa, cocaine, heroin etc.)",Hon XXXXXXX,,,,,,,Hearing,Mention date set (in court),,25,Apr,2023,,,1,1,,,No,,,0,,,
,12,Apr,2023,QRSO,E048,25,Mar,2022,,,,,Defilement,Hon XXXXXXX,,,,,,,Hearing,Mention date set (in court),,25,Apr,2023,,,1,1,,,No,1,,0,,,
,12,Apr,2023,QRCR,E865,4,Jul,2022,,,,,"Stealing, stealing by servant and related offenses",Hon XXXXXXX,,,,,,,Hearing,Adjournment,Witness not present,25,Apr,2023,,,1,1,,,No,,,0,,,
,12,Apr,2023,QRCR,E1384,26,Oct,2022,,,,,"Stealing, stealing by servant and related offenses",Hon A N Other,,,,,,,Mention,Mention date set (in court),,26,Apr,2023,,,1,1,,,No,,,1,,,
,12,Apr,2023,QRSO,E025,20,Feb,2023,,,,,Defilement,Hon A N Other,,,,,,,Mention,Mention date set (in court),,26,Apr,2023,,,1,1,,,No,,,1,,,
,12,Apr,2023,QRCR,E1351,17,Oct,2022,,,,,"Stealing, stealing by servant and related offenses",Hon A N Other,,,,,,,Mention,Mention date set (in court),,26,Apr,2023,,,1,3,,,No,,,1,,,
,12,Apr,2023,QRCR,E619,28,Mar,2023,,,,,Forestry offenses,Hon A N Other,,,,,,,Mention,Hearing date set (in court),,17,Jul,2023,,,1,3,,,No,,,0,,,
,12,Apr,2023,QRCR,E1029,8,Aug,2022,,,,,"Stealing, stealing by servant and related offenses",Hon A N Other,,,,,,,Mention,Further Mention,,26,Apr,2023,,,1,3,,,No,,,1,,,
,12,Apr,2023,QRCR,E902,12,Jul,2022,,,,,Manslaughter,Hon A N Other,,,,,,,Mention,Hearing date set (in court),,26,Apr,2023,,,1,1,,,No,,,1,,,
,12,Apr,2023,QRCR,E494,7,Mar,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon XXXXXXX,,,,,,,Mention,Mention date set (in court),,25,Apr,2023,,,1,,1,,No,,,0,,,
,12,Apr,2023,QRCR,E1192,8,Jun,2021,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon Abc Def,,,,,,,Sentencing,Mention date set (in court),,08,May,2023,,,1,2,,,No,,,2,,,
,12,Apr,2023,QRCR,1081,16,Sep,2020,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon Abc Def,,,,,,,Sentencing,Sentenced,,,,,,,1,2,,,No,,,1,,,
,12,Apr,2023,QRCR,E1563,2,Aug,2021,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon Abc Def,,,,,,,Sentencing,Sentenced,,,,,,,1,2,,,No,,,1,,,
,12,Apr,2023,QRCR,E1496,21,Nov,2022,,,,,"Stealing, stealing by servant and related offenses",Hon Abc Def,,,,,,,Sentencing,Mention date set (in court),,08,May,2023,,,1,2,,,No,,,1,,,
,12,Apr,2023,QRCR,E561,17,Mar,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon Abc Def,,,,,,,Mention,Sentenced,,,,,,,1,1,,,No,,,1,,,
,12,Apr,2023,QRCR,E546,15,Mar,2023,,,,,"Stealing, stealing by servant and related offenses",Hon Abc Def,,,,,,,Mention,Sentenced,,,,,,,1,1,,,No,,,0,,,
,12,Apr,2023,QRCR,E556,16,Mar,2023,,,,,"Malicious damage, injury to property, goods etc",Hon XYZ,,,,,,,Bond Approvals,Directions given,,12,Apr,2023,,,1,1,,,No,,,1,,,
,12,Apr,2023,QRSO,E049,6,Apr,2022,,,,,Defilement,Hon WWWWWW,,,,,,,Mention,Hearing date set (in court),,30,May,2023,,,1,1,,,No,,,0,,,
,12,Apr,2023,QRCR,E625,29,Mar,2023,,,,,"Preparations/conspiracy to commit felony, neglect to prevent a felony",Hon Abc Def,,,,,,,Mention,Hearing date set (in court),,25,May,2023,,,1,1,,,No,,,0,,,
,12,Apr,2023,QRCR,E623,29,Mar,2023,,,,,"Impersonation, treachery",Hon XXXXXXX,,,,,,,Mention,Mention date set (in court),,25,Apr,2023,,,1,1,,,No,,,0,,,
,12,Apr,2023,QRCR,E626,29,Mar,2023,,,,,"Burglary, housebreaking, entering dwelling-house with intent to commit felony and similar offences",Hon Abc Def,,,,,,,Mention,Hearing date set (in court),,25,May,2023,,,1,1,,,No,,,1,,,
,12,Apr,2023,QRCR,E2120,19,Nov,2021,,,,,"Abortion, infanticide, concealing birth, killing unborn child",Hon A N Other,,,,,,,Mention,Mention date set (in court),,13,Apr,2023,,,1,,1,,No,,,1,,,
,12,Apr,2023,QRCRMISC,E116,6,Apr,2023,,,,,Criminal Miscellaneous Application,Hon A N Other,,,,,,,Mention,Application Allowed - Case Closed,,,,,,,1,4,,,No,,,0,,,
,12,Apr,2023,QRCR,E622,29,Mar,2023,,,,,"Malicious damage, injury to property, goods etc",Hon A N Other,,,,,,,Mention,Mention date set (in court),,17,Apr,2023,,,1,1,,,No,,,1,,,
,12,Apr,2023,QRCR,E629,29,Mar,2023,,,,,Offenses under Public Health Act,Hon A N Other,,,,,,,Mention,Hearing date set (in court),,27,Jul,2023,,,1,,1,,No,,,0,,,
,12,Apr,2023,QRCR,1828,28,Oct,2019,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon XXXXXXX,,,,,,,Mention,Mention date set (in court),,25,Apr,2023,,,1,1,,,No,,,0,,,
,12,Apr,2023,QRCR,E031,10,Jan,2022,,,,,"Offenses under False Pretences (e.g. Obtaining, Bad Cheques, Cheating)",Hon WWWWWW,,,,,,,Mention,Hearing date set (in court),,28,Jun,2023,,,1,,1,,No,,,0,,,
,12,Apr,2023,QRCR,E161,23,Jan,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon Abc Def,,,,,,,Mention,Mention date set (in court),,09,May,2023,,,1,1,,,No,,,0,,,
,12,Apr,2023,QRCR,E551,15,Mar,2023,,,,,"Stealing, stealing by servant and related offenses",Hon Abc Def,,,,,,,Mention,Sentenced,,08,May,2023,,,1,2,,,No,,,2,,,
,12,Apr,2023,QRCR,E545,15,Mar,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon Abc Def,,,,,,,Mention,Mention date set (in court),,08,May,2023,,,1,1,,,No,,,1,,,
,12,Apr,2023,QRCR,E540,15,Mar,2023,,,,,"Attempted Murder, Threatening to kill, Attempted Suicide",Hon Abc Def,,,,,,,Mention,Sentenced,,,,,,,1,1,,,No,,,1,,,
,12,Apr,2023,QRCR,E668,6,Apr,2023,,,,,"Burglary, housebreaking, entering dwelling-house with intent to commit felony and similar offences",Hon A N Other,,,,,,,Mention,Mention date set (in court),,13,Apr,2023,,,1,1,,,No,,,1,,,
,12,Apr,2023,QRCR,E248,21,Feb,2022,,,,,"Creating disturbance, affray, unlawful assembly and riots, and other offenses against public tranquility",Hon XYZ,,,,,,,Mention,Mention date set (in court),,26,Apr,2023,,,1,1,,,No,,,1,,,
,12,Apr,2023,QRCR,706,12,Apr,2023,,,,,"Stock theft, and injuring, killing or maiming of a domestic animal with intent to steal, stealing stock",Hon XYZ,,,,,,,Plea,Mention date set (in court),,20,Apr,2023,,,1,1,,,No,,,1,,,
,12,Apr,2023,QRCR,E252,1,Feb,2023,,,,,"Preparations/conspiracy to commit felony, neglect to prevent a felony",Hon XYZ,,,,,,,Mention,Matter Withdrawn,,,,,,,1,1,,,No,,,1,,,
,12,Apr,2023,QRCR,791,20,Jun,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon WWWWWW,,,,,,,Mention,Hearing date set (in court),,06,Jun,2023,,,1,1,,,No,,,0,,,
,12,Apr,2023,QRCR,E081,11,Jan,2023,,,,,"Stock theft, and injuring, killing or maiming of a domestic animal with intent to steal, stealing stock",Hon XXXXXXX,,,,,,,Mention,Hearing date set (in court),,20,Jun,2023,,,1,1,,,No,,,0,,,
,12,Apr,2023,QRCR,E642,3,Apr,2023,,,,,"Burglary, housebreaking, entering dwelling-house with intent to commit felony and similar offences",Hon A N Other,,,,,,,Mention,Mention date set (in court),,26,Apr,2023,,,1,1,,,No,,,1,,,
,12,Apr,2023,QRCR,E649,3,Apr,2023,,,,,"Possession of narcotic drugs and psychotropic substances (cannabis sativa, cocaine, heroin etc.)",Hon A N Other,,,,,,,Mention,Sentenced,,,,,,,1,1,,,No,,,0,,,
,12,Apr,2023,QRCRMISC,E109,3,Apr,2023,,,,,Criminal Miscellaneous Application,Hon A N Other,,,,,,,Mention,Application Allowed - Case Closed,,,,,,,1,,2,,No,,,0,,,
,12,Apr,2023,QRCR,1484,17,Nov,2022,,,,,"Stealing, stealing by servant and related offenses",Hon WWWWWW,,,,,,,Mention,Hearing date set (in court),,30,May,2023,,,1,1,,,No,,,0,,,
,12,Apr,2023,QRCR,E361,14,Feb,2023,,,,,Forestry offenses,Hon A N Other,,,,,,,Hearing of Applications,Hearing date set (in court),,03,May,2023,,,1,1,,,Yes,,,0,,,
,12,Apr,2023,QRCR,1034,14,Sep,2020,,,,,"Burglary, housebreaking, entering dwelling-house with intent to commit felony and similar offences",Hon XXXXXXX,,,,,,,Mention,Hearing date set (in court),,24,Jul,2023,,,1,3,,,Yes,,,0,,,
,12,Apr,2023,QRCR,E603,24,Mar,2023,,,,,"Stealing, stealing by servant and related offenses",Hon XXXXXXX,,,,,,,Mention,Sentenced,,,,,,,1,1,,,No,,,0,,,
,12,Apr,2023,QRSO,E106,20,Dec,2021,,,,,Defilement,Hon A N Other,,,,,,,Mention,Mention date set (in court),,26,Apr,2023,,,1,1,,,No,,,1,,,
,12,Apr,2023,QRSO,E026,28,Feb,2022,,,,,Defilement,Hon A N Other,,,,,,,Mention,Mention date set (in court),,26,Apr,2023,,,1,1,,,No,,,1,,,
,13,Apr,2023,QRCR,E632,30,Mar,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon A N Other,,,,,,,Mention,Hearing date set (in court),,31,Jul,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E1955,22,Oct,2021,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon A N Other,,,,,,,Inter Parte Hearing,Mention date set (in court),,17,Apr,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E1594,19,Dec,2022,,,,,Offences relating to alcoholic drinks control and licensing Act,Hon XXXXXXX,,,,,,,Mention,Out of court settlement Reached,,,,,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E1611,19,Dec,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon A N Other,,,,,,,Fresh Hearing,Adjournment,Witness not present,27,Jul,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E619,18,May,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon A N Other,,,,,,,Fresh Hearing,Adjournment,Witness not present,27,Apr,2023,,,1,1,,,No,7,,1,,,
,13,Apr,2023,QRCR,E1735,14,Sep,2021,,,,,Attempted robbery with violence,Hon WWWWWW,,,,,,,Part Heard Hearing,Mention date set (in court),,11,May,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E183,23,Jan,2023,,,,,"Burglary, housebreaking, entering dwelling-house with intent to commit felony and similar offences",Hon WWWWWW,,,,,,,Part Heard Hearing,Mention date set (in court),,11,May,2023,,,1,2,,,No,,,0,,,
,13,Apr,2023,QRCR,1581,7,Dec,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon WWWWWW,,,,,,,Mention,Matter Withdrawn,,,,,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E004,3,Jan,2023,,,,,"Offenses under False Pretences (e.g. Obtaining, Bad Cheques, Cheating)",Hon WWWWWW,,,,,,,Hearing,Hearing date set (in court),,07,Jun,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRTR,E019,17,Feb,2022,,,,,Careless Driving,Hon WWWWWW,,,,,,,Hearing,Mention date set (in court),,16,May,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E100,27,Jan,2022,,,,,"Preparations/conspiracy to commit felony, neglect to prevent a felony",Hon WWWWWW,,,,,,,Defense Hearing ,Hearing date set (in court),,06,Jun,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E1582,13,Dec,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon WWWWWW,,,,,,,Hearing,Hearing date set (in court),,06,Jun,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E107,28,Jan,2022,,,,,"Malicious damage, injury to property, goods etc",Hon XYZ,,,,,,,Judgment,Judgment delivered- case closed,,,,,,,1,1,,,Yes,,,1,,,
,13,Apr,2023,QRCR,E363,15,Feb,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon A N Other,,,,,,,Fresh Hearing,Hearing date set (in court),,13,Jul,2023,,,1,,1,,No,1,,0,,,
,13,Apr,2023,QRCR,E384,17,Feb,2023,,,,,"Children in need of care and protection, including orphaned and vulnerable children, children subjected to harmful cultural practices (early marriages), torture, prostitution, trafficking, and other offenses under the Children's Act",Hon XYZ,,,,,,,Hearing,Hearing date set (in court),,27,Apr,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E372,17,Feb,2023,,,,,"Offenses under False Pretences (e.g. Obtaining, Bad Cheques, Cheating)",Hon XYZ,,,,,,,Hearing,Hearing date set (in court),,08,May,2023,,,1,1,,,No,,,1,,,
,13,Apr,2023,QRCR,E376,17,Feb,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon XYZ,,,,,,,Hearing,Hearing date set (in court),,25,Apr,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E373,17,Feb,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon XYZ,,,,,,,Hearing,Hearing date set (in court),,08,May,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E140,19,Jan,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon A N Other,,,,,,,Mention,Mention date set (in court),,27,Apr,2023,,,1,1,,,No,,,1,,,
,13,Apr,2023,QRCR,E477,3,Mar,2023,,,,,Forcible entry,Hon A N Other,,,,,,,Fresh Hearing,Adjournment,No Exhibits,31,Jul,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E803,19,Apr,2021,,,,,"Malicious damage, injury to property, goods etc",Hon WWWWWW,,,,,,,Hearing,Mention date set (in court),,11,May,2023,,,1,1,,,Yes,1,,0,,,
,13,Apr,2023,QRCR,E219,15,Feb,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon XYZ,,,,,,,Hearing,Hearing date set (in court),,08,May,2023,,,1,1,,,Yes,,,0,,,
,13,Apr,2023,QRCR,E659,31,May,2022,,,,,"Malicious damage, injury to property, goods etc",Hon XYZ,,,,,,,Defense Hearing ,Judgment date given,,31,May,2023,,,1,1,,,No,,3,0,,,
,13,Apr,2023,QRCR,E1608,19,Dec,2022,,,,,"Stealing, stealing by servant and related offenses",Hon XYZ,,,,,,,Hearing,Hearing date set (in court),,22,May,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E386,28,Mar,2022,,,,,"Malicious damage, injury to property, goods etc",Hon XYZ,,,,,,,Defense Hearing ,Judgment date given,,22,May,2023,,,1,1,,,No,,3,0,,,
,13,Apr,2023,QRCR,E377,17,Feb,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon A N Other,,,,,,,Hearing,Adjournment,Police File not availed,31,Jul,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E440,27,Feb,2023,,,,,"Stealing, stealing by servant and related offenses",Hon XYZ,,,,,,,Hearing,Hearing date set (in court),,11,May,2023,,,1,1,,,No,,,1,,,
,13,Apr,2023,QRCR,E654,25,May,2022,,,,,"Offenses under False Pretences (e.g. Obtaining, Bad Cheques, Cheating)",Hon A N Other,,,,,,,Mention,Mention date set (in court),,20,Apr,2023,,,1,1,,,Yes,,,0,,,
,13,Apr,2023,QRCR,E746,13,Jun,2022,,,,,"Malicious damage, injury to property, goods etc",Hon A N Other,,,,,,,Mention,Mention date set (in court),,11,May,2023,,,1,2,,,No,,,0,,,
,13,Apr,2023,QRSO,E045,10,Jun,2021,,,,,Rape,Hon A N Other,,,,,,,Mention,Mention date set (in court),,27,Apr,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E569,11,May,2022,,,,,"Offenses under False Pretences (e.g. Obtaining, Bad Cheques, Cheating)",Hon A N Other,,,,,,,Mention,Mention date set (in court),,27,Apr,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E304,8,Mar,2022,,,,,"Burglary, housebreaking, entering dwelling-house with intent to commit felony and similar offences",Hon A N Other,,,,,,,Mention,Mention date set (in court),,11,May,2023,,,1,2,,,No,,,0,,,
,13,Apr,2023,QRCR,E850,1,Jul,2022,,,,,"Preparations/conspiracy to commit felony, neglect to prevent a felony",Hon WWWWWW,,,,,,,Mention,Mention date set (in court),,19,Apr,2023,,,1,2,,,No,,,0,,,
,13,Apr,2023,QRCR,E231,8,Feb,2021,,,,,"Burglary, housebreaking, entering dwelling-house with intent to commit felony and similar offences",Hon A N Other,,,,,,,Mention,Mention date set (in court),,13,Apr,2023,,,1,1,,,No,,,1,,,
,13,Apr,2023,QRCR,E981,26,Jul,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon XYZ,,,,,,,Defense Hearing ,Hearing date set (in court),,16,Mar,2023,,,1,1,,,No,,1,0,,,
,13,Apr,2023,QRINQ,E002,11,Apr,2022,,,,,Inquests,Hon XYZ,,,,,,,Hearing,Ruling date given,,31,May,2023,,,1,1,,,No,1,,0,,,
,13,Apr,2023,QRCR,E297,8,Feb,2023,,,,,"Criminal negligence, recklessness, nuisances",Hon XYZ,,,,,,,Hearing,Ruling date given,,19,Apr,2023,,,1,1,,,No,1,,0,,,
,13,Apr,2023,QRCR,E1620,20,Dec,2022,,,,,"Stealing, stealing by servant and related offenses",Hon XYZ,,,,,,,Hearing,Hearing date set (in court),,08,May,2023,,,1,1,,,No,,,1,,,
,13,Apr,2023,QRCR,E1653,23,Dec,2022,,,,,"Stealing, stealing by servant and related offenses",Hon XYZ,,,,,,,Hearing,Hearing date set (in court),,08,May,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E577,20,Mar,2023,,,,,"Stealing, stealing by servant and related offenses",Hon WWWWWW,,,,,,,Sentencing,Sentenced,,,,,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E584,21,Mar,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon WWWWWW,,,,,,,Mention,Matter Withdrawn,,,,,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E572,20,Mar,2023,,,,,"Stealing, stealing by servant and related offenses",Hon WWWWWW,,,,,,,Mention,Mention date set (in court),,18,Apr,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E635,23,May,2022,,,,,Forgery (including coining),Hon XYZ,,,,,,,Mention,Hearing date set (in court),,08,May,2023,,,1,,1,,No,,,0,,,
,13,Apr,2023,QRCR,E748,13,Jun,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon XYZ,,,,,,,Mention,Matter Withdrawn,,,,,,,1,1,,,Yes,,,1,,,
,13,Apr,2023,QRCR,E269,6,Feb,2023,,,,,"Stealing, stealing by servant and related offenses",Hon XYZ,,,,,,,Hearing,Hearing date set (in court),,27,Apr,2023,,,1,2,,,No,,,2,,,
,13,Apr,2023,QRCR,E794,22,Jun,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon WWWWWW,,,,,,,Ruling,Ruling delivered- Accused put on defense,,07,Jun,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E167,23,Jan,2023,,,,,Offences relating to alcoholic drinks control and licensing Act,Hon WWWWWW,,,,,,,Mention,Mention date set (in court),,13,Apr,2023,,,1,,1,,No,,,0,,,
,13,Apr,2023,QRCR,E167,23,Jan,2023,,,,,Offences relating to alcoholic drinks control and licensing Act,Hon WWWWWW,,,,,,,Mention,Matter Withdrawn,,,,,,,1,,1,,No,,,0,,,
,13,Apr,2023,QRCR,E385,20,Feb,2023,,,,,Offences relating to alcoholic drinks control and licensing Act,Hon WWWWWW,,,,,,,Mention,Mention date set (in court),,20,Apr,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E1204,23,Sep,2022,,,,,"Creating disturbance, affray, unlawful assembly and riots, and other offenses against public tranquility",Hon WWWWWW,,,,,,,Ruling,Ruling date given,,19,Apr,2023,,,1,2,,,No,,,0,,,
,13,Apr,2023,QRCR,E704,7,Jun,2022,,,,,"Theft, handling stolen or suspected stolen property/goods, possession of government/public stores, and related offenses",Hon WWWWWW,,,,,,,Sentencing,Sentenced,,,,,,,1,1,1,,No,,,0,,,
,13,Apr,2023,QRCR,E647,3,Apr,2023,,,,,"Stealing, stealing by servant and related offenses",Hon A N Other,,,,,,,Mention,Sentenced,,,,,,,1,1,,,No,,,1,,,
,13,Apr,2023,QRCR,E1918,15,Oct,2021,,,,,Fraud/Conspiracy to defraud,Hon A N Other,,,,,,,Mention,Hearing date set (in court),,31,Jul,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRSO,E058,4,May,2022,,,,,Defilement,Hon A N Other,,,,,,,Mention,Mention date set (in court),,27,Apr,2023,,,1,1,,,No,,,1,,,
,13,Apr,2023,QRCR,E378,17,Feb,2023,,,,,"Malicious damage, injury to property, goods etc",Hon A N Other,,,,,,,Hearing,Hearing date set (in court),,08,Jun,2023,,,1,1,,,No,3,,1,,,
,13,Apr,2023,QRCR,E1310,11,Oct,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon A N Other,,,,,,,Mention,Mention date set (in court),,27,Apr,2023,,,1,1,,,No,,,1,,,
,13,Apr,2023,QRCR,1479,14,Nov,2022,,,,,Attempted robbery with violence,Hon A N Other,,,,,,,Mention,Hearing date set (in court),,27,Apr,2023,,,1,2,,,No,,,2,,,
,13,Apr,2023,QRSO,70,25,Jul,2019,,,,,Defilement,Hon A N Other,,,,,,,Mention,Mention date set (in court),,27,Apr,2023,,,1,1,,,Yes,,,1,,,
,13,Apr,2023,QRCR,E678,2,Jun,2022,,,,,Attempted robbery,Hon A N Other,,,,,,,Mention,Mention date set (in court),,27,Apr,2023,,,1,1,,,No,,,1,,,
,13,Apr,2023,QRCR,E631,30,Mar,2023,,,,,Manslaughter,Hon XXXXXXX,,,,,,,Mention,Mention date set (in court),,03,May,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E633,30,Mar,2023,,,,,"Stock theft, and injuring, killing or maiming of a domestic animal with intent to steal, stealing stock",Hon A N Other,,,,,,,Mention,Mention date set (in court),,27,Apr,2023,,,1,1,,,No,,,1,,,
,13,Apr,2023,QRSO,E043,21,Mar,2022,,,,,Defilement,Hon XYZ,,,,,,,Defense Hearing ,Hearing date set (in court),,08,May,2023,,,1,1,,,No,,,1,,,
,13,Apr,2023,QRCR,E374,17,Feb,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon WWWWWW,,,,,,,Hearing,Hearing date set (in court),,07,Jun,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E661,6,Apr,2023,,,,,Offences relating to alcoholic drinks control and licensing Act,Hon A N Other,,,,,,,Mention,Sentenced,,,,,,,1,,1,,No,,,0,,,
,13,Apr,2023,QRCR,E1618,19,Dec,2022,,,,,Offences relating to alcoholic drinks control and licensing Act,Hon XXXXXXX,,,,,,,Mention,Mention date set (in court),,21,Apr,2023,,,1,,1,,No,,,0,,,
,13,Apr,2023,QRCR,E1617,19,Dec,2022,,,,,Offences relating to alcoholic drinks control and licensing Act,Hon XXXXXXX,,,,,,,Mention,Mention date set (in court),,12,May,2023,,,1,,1,,No,,,0,,,
,13,Apr,2023,QRTR,E184,18,May,2022,,,,,Causing death by dangerous Driving,Hon XXXXXXX,,,,,,,Mention,Mention date set (in court),,21,Apr,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRCR,E147,20,Jan,2023,,,,,Offences relating to alcoholic drinks control and licensing Act,Hon XXXXXXX,,,,,,,Mention,Mention date set (in court),,21,Apr,2023,,,1,,1,,No,,,0,,,
,13,Apr,2023,QRCR,E148,20,Jan,2023,,,,,Offences relating to alcoholic drinks control and licensing Act,Hon XXXXXXX,,,,,,,Mention,Mention date set (in court),,21,Apr,2023,,,1,1,,,No,,,0,,,
,13,Apr,2023,QRSO,E035,4,Apr,2023,,,,,Defilement,Hon A N Other,,,,,,,Mention,Mention date set (in court),,27,Apr,2023,,,1,1,,,No,,,1,,,
,13,Apr,2023,QRCR,E636,31,Mar,2023,,,,,"Stealing, stealing by servant and related offenses",Hon A N Other,,,,,,,Hearing,Matter Withdrawn,,,,,,,1,3,,,No,,,0,,,
,13,Apr,2023,QRCR,E675,11,Apr,2023,,,,,"Burglary, housebreaking, entering dwelling-house with intent to commit felony and similar offences",Hon A N Other,,,,,,,Mention,Mention date set (in court),,27,Apr,2023,,,1,1,,,No,,,1,,,
,13,Apr,2023,QRCR,E678,11,Apr,2023,,,,,"Stealing, stealing by servant and related offenses",Hon XYZ,,,,,,,Mention,Matter Withdrawn,,,,,,,1,1,,,No,,,1,,,
,13,Apr,2023,QRCR,E616,27,Mar,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon A N Other,,,,,,,Mention,Mention date set (in court),,27,Apr,2023,,,1,,1,,No,,,0,,,
,13,Apr,2023,QRCR,E676,11,Apr,2023,,,,,"Stealing, stealing by servant and related offenses",Hon XYZ,,,,,,,Mention,Mention date set (in court),,17,Apr,2023,,,1,1,,,No,,,1,,,
,13,Apr,2023,QRCR,E697,13,Apr,2023,,,,,Offences relating to alcoholic drinks control and licensing Act,Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,13,Apr,2023,,,1,,1,,No,,,,Outcome updated outomatically during registrations,,
,13,Apr,2023,QRCR,E698,13,Apr,2023,,,,,Offences relating to alcoholic drinks control and licensing Act,Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,13,Apr,2023,,,1,,1,,No,,,,Outcome updated outomatically during registrations,,
,13,Apr,2023,QRCR,E699,13,Apr,2023,,,,,"Malicious damage, injury to property, goods etc",Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,13,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
,13,Apr,2023,QRCR,E700,13,Apr,2023,,,,,Offences relating to alcoholic drinks control and licensing Act,Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,13,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
